x,y,z,label_old,label,vox_num,index,module,index_module,index_node
-4.6213,15.6,53.2468,SFG_L_7_1,A8m_l,235,1,SFG,1,1
6.975,16.3875,54.7125,SFG_R_7_1,A8m_r,240,2,SFG,1,2
-18.2885,23.6077,53.1692,SFG_L_7_2,A8dl_l,260,3,SFG,1,3
21.91,25.7773,50.9431,SFG_R_7_2,A8dl_r,211,4,SFG,1,4
-11.2933,49.2,38.7467,SFG_L_7_3,A9l_l,225,5,SFG,1,5
13.1635,48.0913,40.1407,SFG_R_7_3,A9l_r,263,6,SFG,1,6
-17.8462,-0.53846,65.2,SFG_L_7_4,A6dl_l,195,7,SFG,1,7
19.8788,4.9848,63.6818,SFG_R_7_4,A6dl_r,198,8,SFG,1,8
-5.9457,-5.5249,57.7873,SFG_L_7_5,A6m_l,221,9,SFG,1,9
7.4567,-3.8365,59.6971,SFG_R_7_5,A6m_r,208,10,SFG,1,10
-4.6714,35.7571,39.0857,SFG_L_7_6,A9m_l,210,11,SFG,1,11
5.9656,37.7748,35.4275,SFG_R_7_6,A9m_r,262,12,SFG,1,12
-7.7492,55.7492,14.7948,SFG_L_7_7,A10m_l,307,13,SFG,1,13
7.8167,57.5498,13.5299,SFG_R_7_7,A10m_r,251,14,SFG,1,14
-27.3942,42.5577,30.8942,MFG_L_7_1,A9/46d_l,312,15,MFG,2,1
30.2136,36.8136,35.9797,MFG_R_7_1,A9/46d_r,295,16,MFG,2,2
-41.9485,13.5193,36.3476,MFG_L_7_2,IFJ_l,233,17,MFG,2,3
42.1525,11.7966,38.3898,MFG_R_7_2,IFJ_r,177,18,MFG,2,4
-27.9872,55.8077,12.2564,MFG_L_7_3,A46_l,234,19,MFG,2,5
27.902,54.8627,16.5294,MFG_R_7_3,A46_r,306,20,MFG,2,6
-40.9863,40.6075,16.4744,MFG_L_7_4,A9/46v_l,293,21,MFG,2,7
41.361,43.657,13.5487,MFG_R_7_4,A9/46v_r,277,22,MFG,2,8
-32.6007,23.0785,45.0819,MFG_L_7_5,A8vl_l,293,23,MFG,2,9
42.1653,26.7585,38.6441,MFG_R_7_5,A8vl_r,236,24,MFG,2,10
-31.8989,3.734,54.4468,MFG_L_7_6,A6vl_l,188,25,MFG,2,11
33.4438,8.0947,54.142,MFG_R_7_6,A6vl_r,169,26,MFG,2,12
-25.8283,60.0773,-5.8069,MFG_L_7_7,A10l_l,233,27,MFG,2,13
25.371,59.9186,-3.2986,MFG_R_7_7,A10l_r,221,28,MFG,2,14
-45.5816,13.0408,23.3878,IFG_L_6_1,A44d_l,98,29,IFG,3,1
44.7717,15.6522,25.0761,IFG_R_6_1,A44d_r,92,30,IFG,3,2
-47.4783,31.6435,13.5391,IFG_L_6_2,IFS_l,115,31,IFG,3,3
47.7955,35.1136,13.2955,IFG_R_6_2,IFS_r,88,32,IFG,3,4
-52.069,22.6552,11.4828,IFG_L_6_3,A45c_l,87,33,IFG,3,5
54.1607,23.9196,12.3214,IFG_R_6_3,A45c_r,112,34,IFG,3,6
-49.0619,36.4513,-2.7611,IFG_L_6_4,A45r_l,113,35,IFG,3,7
50.7787,36.7377,-0.66393,IFG_R_6_4,A45r_r,122,36,IFG,3,8
-39.4552,23.2966,3.6,IFG_L_6_5,A44op_l,145,37,IFG,3,9
42.1598,21.9763,3.1953,IFG_R_6_5,A44op_r,169,38,IFG,3,10
-51.3409,13.2273,6.2045,IFG_L_6_6,A44v_l,88,39,IFG,3,11
53.5517,14.2414,11.8621,IFG_R_6_6,A44v_r,87,40,IFG,3,12
-6.5282,52.7746,-7.4366,OrG_L_6_1,A14m_l,142,41,OrG,4,1
6.2526,47.4947,-6.8368,OrG_R_6_1,A14m_r,190,42,OrG,4,2
-36.2239,33.8507,-15.7836,OrG_L_6_2,A12/47o_l,134,43,OrG,4,3
40.4899,39.0201,-14.2953,OrG_R_6_2,A12/47o_r,149,44,OrG,4,4
-22.7413,37.542,-17.4231,OrG_L_6_3,A11l_l,286,45,OrG,4,5
23.4809,36.6422,-17.956,OrG_R_6_3,A11l_r,341,46,OrG,4,6
-6.0351,50.6491,-20.386,OrG_L_6_4,A11m_l,171,47,OrG,4,7
5.6225,52.947,-18.6358,OrG_R_6_4,A11m_r,151,48,OrG,4,8
-10.2952,17.6125,-18.5646,OrG_L_6_5,A13_l,271,49,OrG,4,9
9.4424,20.1014,-19.3825,OrG_R_6_5,A13_r,217,50,OrG,4,10
-40.5928,31.9794,-9.4175,OrG_L_6_6,A12/47l_l,194,51,OrG,4,11
41.9172,30.4552,-9.331,OrG_R_6_6,A12/47l_r,145,52,OrG,4,12
-49.4308,-7.2115,38.7346,PrG_L_6_1,A4hf_l,260,53,PrG,5,1
54.2671,-2.6712,33.6164,PrG_R_6_1,A4hf_r,146,54,PrG,5,2
-32.009,-9,57.5158,PrG_L_6_2,A6cdl_l,221,55,PrG,5,3
32.5109,-6.8043,56.75,PrG_R_6_2,A6cdl_r,276,56,PrG,5,4
-26.386,-24.9123,62.8596,PrG_L_6_3,A4ul_l,171,57,PrG,5,5
34.8449,-18.8824,58.2674,PrG_R_6_3,A4ul_r,187,58,PrG,5,6
-12.5294,-21.1765,73.5882,PrG_L_6_4,A4t_l,85,59,PrG,5,7
15,-21.1544,71.3382,PrG_R_6_4,A4t_r,136,60,PrG,5,8
-51.8667,0.22222,7.4889,PrG_L_6_5,A4tl_l,135,61,PrG,5,9
54.2479,4.5372,8.5289,PrG_R_6_5,A4tl_r,121,62,PrG,5,10
-49.1914,4.7943,30.2871,PrG_L_6_6,A6cvl_l,209,63,PrG,5,11
51.2029,7.1739,30.6667,PrG_R_6_6,A6cvl_r,207,64,PrG,5,12
-8.1226,-38.1226,57.4245,PCL_L_2_1,A1/2/3ll_l,106,65,PCL,6,1
10.75,-33.7273,51.9318,PCL_R_2_1,A1/2/3ll_r,132,66,PCL,6,2
-4.2282,-22.7517,60.906,PCL_L_2_2,A4ll_l,149,67,PCL,6,3
4.8239,-20.8295,60.8693,PCL_R_2_2,A4ll_r,176,68,PCL,6,4
-31.6849,13.9863,-34.8493,STG_L_6_1,A38m_l,219,69,STG,7,1
30.7701,14.1337,-33.1765,STG_R_6_1,A38m_r,187,70,STG,7,2
-53.4565,-32.3043,12.5217,STG_L_6_2,A41/42_l,138,71,STG,7,3
54.5405,-23.7297,10.6486,STG_R_6_2,A41/42_r,111,72,STG,7,4
-50.1595,-10.5776,1.3319,STG_L_6_3,TE1.0/TE1.2_l,232,73,STG,7,5
51.1698,-3.6509,-0.86321,STG_R_6_3,TE1.0/TE1.2_r,212,74,STG,7,6
-62.7472,-32.8146,7.5,STG_L_6_4,A22c_l,178,75,STG,7,7
66.5245,-21.6713,7.049,STG_R_6_4,A22c_r,143,76,STG,7,8
-45.0769,10.3269,-19.2308,STG_L_6_5,A38l_l,156,77,STG,7,9
47.0794,12.381,-19.8095,STG_R_6_5,A38l_r,189,78,STG,7,10
-55.0909,-3.1925,-10.123,STG_L_6_6,A22r_l,187,79,STG,7,11
55.8545,-12.5455,-5.1273,STG_R_6_6,A22r_r,110,80,STG,7,12
-64.9732,-30.5839,-11.7181,MTG_L_4_1,A21c_l,149,81,MTG,8,1
64.4265,-29.25,-13.2353,MTG_R_4_1,A21c_r,204,82,MTG,8,2
-52.9021,2.3106,-29.9234,MTG_L_4_2,A21r_l,235,83,MTG,8,3
50.7766,5.9362,-32.0851,MTG_R_4_2,A21r_r,282,84,MTG,8,4
-58.7267,-57.436,4.1686,MTG_L_4_3,A37dl_l,172,85,MTG,8,5
60.0419,-53.3163,2.8744,MTG_R_4_3,A37dl_r,215,86,MTG,8,6
-58.5296,-19.9565,-9.3794,MTG_L_4_4,aSTS_l,253,87,MTG,8,7
58.0354,-15.7611,-10.0177,MTG_R_4_4,aSTS_r,339,88,MTG,8,8
-45.5,-26.3571,-26.3571,ITG_L_7_1,A20iv_l,84,89,ITG,9,1
45.9107,-14.9464,-32.0357,ITG_R_7_1,A20iv_r,56,90,ITG,9,2
-50.3448,-57.1724,-14,ITG_L_7_2,A37elv_l,87,91,ITG,9,3
53.4375,-52.4531,-18.6094,ITG_R_7_2,A37elv_r,64,92,ITG,9,4
-43.5634,-2.9155,-41.6197,ITG_L_7_3,A20r_l,142,93,ITG,9,5
40.7143,0.15126,-42.7311,ITG_R_7_3,A20r_r,119,94,ITG,9,6
