index,label,module,index_module,index_node
1,A8m_l,SFG,1,1
2,A8m_r,SFG,1,2
3,A8dl_l,SFG,1,3
4,A8dl_r,SFG,1,4
5,A9l_l,SFG,1,5
6,A9l_r,SFG,1,6
7,A6dl_l,SFG,1,7
8,A6dl_r,SFG,1,8
9,A6m_l,SFG,1,9
10,A6m_r,SFG,1,10
11,A9m_l,SFG,1,11
12,A9m_r,SFG,1,12
13,A10m_l,SFG,1,13
14,A10m_r,SFG,1,14
15,A9/46d_l,MFG,2,1
16,A9/46d_r,MFG,2,2
17,IFJ_l,MFG,2,3
18,IFJ_r,MFG,2,4
19,A46_l,MFG,2,5
20,A46_r,MFG,2,6
21,A9/46v_l,MFG,2,7
22,A9/46v_r,MFG,2,8
23,A8vl_l,MFG,2,9
24,A8vl_r,MFG,2,10
25,A6vl_l,MFG,2,11
26,A6vl_r,MFG,2,12
27,A10l_l,MFG,2,13
28,A10l_r,MFG,2,14
29,A44d_l,IFG,3,1
30,A44d_r,IFG,3,2
31,IFS_l,IFG,3,3
32,IFS_r,IFG,3,4
33,A45c_l,IFG,3,5
34,A45c_r,IFG,3,6
35,A45r_l,IFG,3,7
36,A45r_r,IFG,3,8
37,A44op_l,IFG,3,9
38,A44op_r,IFG,3,10
39,A44v_l,IFG,3,11
40,A44v_r,IFG,3,12
41,A14m_l,OrG,4,1
42,A14m_r,OrG,4,2
43,A12/47o_l,OrG,4,3
44,A12/47o_r,OrG,4,4
45,A11l_l,OrG,4,5
46,A11l_r,OrG,4,6
47,A11m_l,OrG,4,7
48,A11m_r,OrG,4,8
49,A13_l,OrG,4,9
50,A13_r,OrG,4,10
51,A12/47l_l,OrG,4,11
52,A12/47l_r,OrG,4,12
53,A4hf_l,PrG,5,1
54,A4hf_r,PrG,5,2
55,A6cdl_l,PrG,5,3
56,A6cdl_r,PrG,5,4
57,A4ul_l,PrG,5,5
58,A4ul_r,PrG,5,6
59,A4t_l,PrG,5,7
60,A4t_r,PrG,5,8
61,A4tl_l,PrG,5,9
62,A4tl_r,PrG,5,10
63,A6cvl_l,PrG,5,11
64,A6cvl_r,PrG,5,12
65,A1/2/3ll_l,PCL,6,1
66,A1/2/3ll_r,PCL,6,2
67,A4ll_l,PCL,6,3
68,A4ll_r,PCL,6,4
69,A38m_l,STG,7,1
70,A38m_r,STG,7,2
71,A41/42_l,STG,7,3
72,A41/42_r,STG,7,4
73,TE1.0/TE1.2_l,STG,7,5
74,TE1.0/TE1.2_r,STG,7,6
75,A22c_l,STG,7,7
76,A22c_r,STG,7,8
77,A38l_l,STG,7,9
78,A38l_r,STG,7,10
79,A22r_l,STG,7,11
80,A22r_r,STG,7,12
81,A21c_l,MTG,8,1
82,A21c_r,MTG,8,2
83,A21r_l,MTG,8,3
84,A21r_r,MTG,8,4
85,A37dl_l,MTG,8,5
86,A37dl_r,MTG,8,6
87,aSTS_l,MTG,8,7
88,aSTS_r,MTG,8,8
89,A20iv_l,ITG,9,1
90,A20iv_r,ITG,9,2
91,A37elv_l,ITG,9,3
92,A37elv_r,ITG,9,4
93,A20r_l,ITG,9,5
94,A20r_r,ITG,9,6
95,A20il_l,ITG,9,7
96,A20il_r,ITG,9,8
