x,y,z,size,r,g,b,label
-39.65,-5.6833,50.944,4.4166,1,1,1,Precentral_L
40.375,-8.2131,52.092,4.2416,0.8,0.8,0.8,Precentral_R
-19.446,34.808,42.202,4.5327,0.8,0.8,0.8,Frontal_Sup_L
20.9,31.12,43.815,5.0303,0.79608,0.58431,0.58431,Frontal_Sup_R
-17.56,47.325,-13.307,1.1998,0.79608,0.58431,0.58431,Frontal_Sup_Orb_L
17.495,48.098,-14.02,1.232,0.23922,0.23922,0.79608,Frontal_Sup_Orb_R
-34.432,32.732,35.456,6.0701,0.23922,0.23922,0.79608,Frontal_Mid_L
36.595,33.062,34.035,6.329,0,0.79608,0,Frontal_Mid_R
-31.646,50.43,-9.619,1.1149,0,0.79608,0,Frontal_Mid_Orb_L
32.182,52.588,-10.731,1.263,0.63529,0,0.21176,Frontal_Mid_Orb_R
-49.434,12.733,19.022,1.2966,0.63529,0,0.21176,Frontal_Inf_Oper_L
49.204,14.976,21.412,1.7516,0.63529,0.21176,0.05098,Frontal_Inf_Oper_R
-46.583,29.914,13.99,3.1515,0.63529,0.21176,0.05098,Frontal_Inf_Tri_L
49.33,30.162,14.173,2.6856,0,0.36863,0.36078,Frontal_Inf_Tri_R
-36.985,30.707,-12.11,2.1304,0,0.36863,0.36078,Frontal_Inf_Orb_L
40.224,32.23,-11.911,2.155,0.79608,0.79608,0.011765,Frontal_Inf_Orb_R
-48.158,-8.4755,13.951,1.2445,0.79608,0.79608,0.011765,Rolandic_Oper_L
51.647,-6.2522,14.635,1.6825,0.63529,0,0.21961,Rolandic_Oper_R
-6.324,4.8485,61.375,2.7091,0.63529,0,0.21961,Supp_Motor_Area_L
7.6158,0.17141,61.854,2.9604,0.63529,0.31765,0.79608,Supp_Motor_Area_R
-9.0628,15.053,-11.455,0.35459,0.63529,0.31765,0.79608,Olfactory_L
9.4269,15.912,-11.256,0.35835,0,0,0,Olfactory_R
-5.7994,49.169,30.894,3.739,0,0,0,Frontal_Sup_Medial_L
8.0994,50.841,30.219,2.6616,0,0,0,Frontal_Sup_Medial_R
-6.174,54.057,-7.3968,0.90795,0,0,0,Frontal_Med_Orb_L
7.1611,51.671,-7.1341,1.0769,0,0,0,Frontal_Med_Orb_R
-6.0819,37.072,-18.136,1.076,0,0,0,Rectus_L
7.3533,35.645,-18.044,0.92959,0,0,0,Rectus_R
-36.131,6.6518,3.4409,2.3553,0,0,0,Insula_L
38.019,6.2451,2.0775,2.2147,0,0,0,Insula_R
-5.0366,35.4,13.953,1.7697,0,0,0,Cingulum_Ant_L
7.4557,37.006,15.84,1.6369,0.79608,0.79608,0.42353,Cingulum_Ant_R
-6.4764,-14.92,41.569,2.4317,0.79608,0.79608,0.42353,Cingulum_Mid_L
7.0204,-8.8264,39.791,2.7342,0.77647,0.77647,0.0078431,Cingulum_Mid_R
-5.8476,-42.918,24.67,0.58236,0.77647,0.77647,0.0078431,Cingulum_Post_L
6.4375,-41.815,21.867,0.41604,0.72157,0.58039,0.15294,Cingulum_Post_R
-26.027,-20.741,-10.133,1.1708,0.72157,0.58039,0.15294,Hippocampus_L
28.231,-19.783,-10.331,1.1923,0.79608,0.79608,0,Hippocampus_R
-22.171,-15.95,-20.704,1.237,0.79608,0.79608,0,ParaHippocampal_L
24.382,-15.147,-20.47,1.4152,0.05098,0.6902,0.26275,ParaHippocampal_R
-24.269,-0.66705,-17.141,0.27167,0.05098,0.6902,0.26275,Amygdala_L
26.319,0.63868,-17.503,0.30803,0.79608,0.55686,0.79608,Amygdala_R
-8.1417,-78.667,6.4392,2.8463,0.79608,0.55686,0.79608,Calcarine_L
