x,y,z,label,module
-4.6213,15.6,53.2468,A8m_l,SFG
6.975,16.3875,54.7125,A8m_r,SFG
-18.2885,23.6077,53.1692,A8dl_l,SFG
21.91,25.7773,50.9431,A8dl_r,SFG
-11.2933,49.2,38.7467,A9l_l,SFG
13.1635,48.0913,40.1407,A9l_r,SFG
-17.8462,-0.53846,65.2,A6dl_l,SFG
19.8788,4.9848,63.6818,A6dl_r,SFG
-5.9457,-5.5249,57.7873,A6m_l,SFG
7.4567,-3.8365,59.6971,A6m_r,SFG
-4.6714,35.7571,39.0857,A9m_l,SFG
5.9656,37.7748,35.4275,A9m_r,SFG
-7.7492,55.7492,14.7948,A10m_l,SFG
7.8167,57.5498,13.5299,A10m_r,SFG
-27.3942,42.5577,30.8942,A9/46d_l,MFG
30.2136,36.8136,35.9797,A9/46d_r,MFG
-41.9485,13.5193,36.3476,IFJ_l,MFG
42.1525,11.7966,38.3898,IFJ_r,MFG
-27.9872,55.8077,12.2564,A46_l,MFG
27.902,54.8627,16.5294,A46_r,MFG
-40.9863,40.6075,16.4744,A9/46v_l,MFG
41.361,43.657,13.5487,A9/46v_r,MFG
-32.6007,23.0785,45.0819,A8vl_l,MFG
42.1653,26.7585,38.6441,A8vl_r,MFG
-31.8989,3.734,54.4468,A6vl_l,MFG
33.4438,8.0947,54.142,A6vl_r,MFG
-25.8283,60.0773,-5.8069,A10l_l,MFG
25.371,59.9186,-3.2986,A10l_r,MFG
-45.5816,13.0408,23.3878,A44d_l,IFG
44.7717,15.6522,25.0761,A44d_r,IFG
-47.4783,31.6435,13.5391,IFS_l,IFG
47.7955,35.1136,13.2955,IFS_r,IFG
-52.069,22.6552,11.4828,A45c_l,IFG
54.1607,23.9196,12.3214,A45c_r,IFG
-49.0619,36.4513,-2.7611,A45r_l,IFG
50.7787,36.7377,-0.66393,A45r_r,IFG
-39.4552,23.2966,3.6,A44op_l,IFG
42.1598,21.9763,3.1953,A44op_r,IFG
-51.3409,13.2273,6.2045,A44v_l,IFG
53.5517,14.2414,11.8621,A44v_r,IFG
-6.5282,52.7746,-7.4366,A14m_l,OrG
6.2526,47.4947,-6.8368,A14m_r,OrG
-36.2239,33.8507,-15.7836,A12/47o_l,OrG
40.4899,39.0201,-14.2953,A12/47o_r,OrG
-22.7413,37.542,-17.4231,A11l_l,OrG
23.4809,36.6422,-17.956,A11l_r,OrG
-6.0351,50.6491,-20.386,A11m_l,OrG
5.6225,52.947,-18.6358,A11m_r,OrG
-10.2952,17.6125,-18.5646,A13_l,OrG
9.4424,20.1014,-19.3825,A13_r,OrG
-40.5928,31.9794,-9.4175,A12/47l_l,OrG
41.9172,30.4552,-9.331,A12/47l_r,OrG
-49.4308,-7.2115,38.7346,A4hf_l,PrG
54.2671,-2.6712,33.6164,A4hf_r,PrG
-32.009,-9,57.5158,A6cdl_l,PrG
32.5109,-6.8043,56.75,A6cdl_r,PrG
-26.386,-24.9123,62.8596,A4ul_l,PrG
34.8449,-18.8824,58.2674,A4ul_r,PrG
-12.5294,-21.1765,73.5882,A4t_l,PrG
15,-21.1544,71.3382,A4t_r,PrG
-51.8667,0.22222,7.4889,A4tl_l,PrG
54.2479,4.5372,8.5289,A4tl_r,PrG
-49.1914,4.7943,30.2871,A6cvl_l,PrG
51.2029,7.1739,30.6667,A6cvl_r,PrG
-8.1226,-38.1226,57.4245,A1/2/3ll_l,PCL
10.75,-33.7273,51.9318,A1/2/3ll_r,PCL
-4.2282,-22.7517,60.906,A4ll_l,PCL
4.8239,-20.8295,60.8693,A4ll_r,PCL
-31.6849,13.9863,-34.8493,A38m_l,STG
30.7701,14.1337,-33.1765,A38m_r,STG
-53.4565,-32.3043,12.5217,A41/42_l,STG
54.5405,-23.7297,10.6486,A41/42_r,STG
-50.1595,-10.5776,1.3319,TE1.0/TE1.2_l,STG
51.1698,-3.6509,-0.86321,TE1.0/TE1.2_r,STG
-62.7472,-32.8146,7.5,A22c_l,STG
66.5245,-21.6713,7.049,A22c_r,STG
-45.0769,10.3269,-19.2308,A38l_l,STG
47.0794,12.381,-19.8095,A38l_r,STG
-55.0909,-3.1925,-10.123,A22r_l,STG
55.8545,-12.5455,-5.1273,A22r_r,STG
-64.9732,-30.5839,-11.7181,A21c_l,MTG
64.4265,-29.25,-13.2353,A21c_r,MTG
-52.9021,2.3106,-29.9234,A21r_l,MTG
50.7766,5.9362,-32.0851,A21r_r,MTG
-58.7267,-57.436,4.1686,A37dl_l,MTG
60.0419,-53.3163,2.8744,A37dl_r,MTG
-58.5296,-19.9565,-9.3794,aSTS_l,MTG
58.0354,-15.7611,-10.0177,aSTS_r,MTG
-45.5,-26.3571,-26.3571,A20iv_l,ITG
45.9107,-14.9464,-32.0357,A20iv_r,ITG
-50.3448,-57.1724,-14,A37elv_l,ITG
53.4375,-52.4531,-18.6094,A37elv_r,ITG
-43.5634,-2.9155,-41.6197,A20r_l,ITG
40.7143,0.15126,-42.7311,A20r_r,ITG
-55.5338,-15.0451,-27.7669,A20il_l,ITG
54.3409,-10.75,-32.2045,A20il_r,ITG
-55.1463,-60.2439,-6,A37vl_l,ITG
54.2143,-56.7857,-8.6327,A37vl_r,ITG
-58.7547,-42.2264,-15.9245,A20cl_l,ITG
60.4435,-40.487,-17.087,A20cl_r,ITG
-54.7725,-30.521,-27.4132,A20cv_l,ITG
53.7018,-30.3158,-26.3509,A20cv_r,ITG
-32.5567,-16,-32.6804,A20rv_l,FuG
33.138,-14.3282,-34.2515,A20rv_r,FuG
-30.4843,-64.7244,-13.8661,A37mv_l,FuG
31.1233,-61.2877,-13.4795,A37mv_r,FuG
-42.3356,-50.5424,-17.5424,A37lv_l,FuG
42.6304,-49.1907,-18.5486,A37lv_r,FuG
-27.6,-7.08,-33.6,A35/36r_l,PhG
27.6429,-8.0714,-33.3571,A35/36r_r,PhG
-25.8511,-23.8085,-27,A35/36c_l,PhG
27,-22.4082,-27.4898,A35/36c_r,PhG
-28.26,-32.58,-16.86,TL_l,PhG
28.9737,-30.3158,-17.7632,TL_r,PhG
-18.4444,-10.6667,-30.2778,A28/34_l,PhG
18.3243,-9.3243,-29.6757,A28/34_r,PhG
-23.4231,1.8462,-32.4231,TI_l,PhG
21.6563,0.65625,-36,TI_r,PhG
-17.1628,-38.7907,-10.8837,TH_l,PhG
